gid;aircraft_aircrafttype_iatacode;aircraft_aircrafttype_icaocode;aircraft_aircrafttype_modelname;airlines_airline_iatacode;airlines_airline_icaocode;airlines_airline_name;airlines_operator_iatacode;airlines_operator_icaocode;airlines_operator_name;airportresources_baggagedelivery_arrivallounge;airportresources_baggagedelivery_baggagebelts;airportresources_baggagedelivery_carrousels;airportresources_runway;airportresources_terminal;airportresources_unboarding_airbridges;airportresources_unboarding_gates;airports_origin_iatacode;airports_origin_icaocode;airports_origin_name;airports_previous_iatacode;airports_previous_icaocode;airports_previous_name;countrytype_code;countrytype_description;flightnumbers_callsign;flightnumbers_iataflightnumber;flightnumbers_icaoflightnumber;flightnumbers_internalflightnumber;flightnumbers_operatoriataflightnumber;flightnumbers_operatoricaoflightnumber;flightnumbers_operatorinternalflightnumber;flightnumbers_operatorsuffix;flightnumbers_operatortripnumber;flightnumbers_suffix;flightnumbers_tripnumber;flightstatus_code;flightstatus_description;publiccomment;remark_code;remark_description;servicetype_description;servicetype_iatacode;timestamps_aibt;timestamps_aldt;timestamps_atot_outstation;timestamps_cancellationdate;timestamps_diversiondate;timestamps_eibt;timestamps_eldt;timestamps_modificationdate;timestamps_sibt;turnflightinternalid;last_update_fme
1014695326;319;A319;A319;SN;BEL;Brussels Airlines;SN;BEL;Brussels Airlines;A1F  ;1.06;06;;T1   ;;AC02;BRU;EBBR;Bruxelles;BRU;EBBR;Bruxelles;S;Schengen;BEL4EW  ;SN 3587;BEL3587 ;SN3587  ;SN 3587;BEL3587 ;SN3587  ;;3587;;3587;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 11:06:00;2023-04-17 11:00:00;2023-04-17 09:59:00;;;2023-04-17 11:07:00;2023-04-17 11:00:00;2023-04-17 19:12:10;2023-04-17 11:00:00;1014695440;2023-04-18 11:55:05
1014695142;738;B738;737-800 Passenger;TO;TVF;Transavia France;TO;TVF;Transavia France;A1F  ;1.07;07;;T1   ;;A1D;TLV;LLBG;Tel Aviv Intl;TLV;LLBG;Tel Aviv Intl;I;International;TVF3461 ;TO 3461;TVF3461 ;TO3461  ;TO 3461;TVF3461 ;TO3461  ;;3461;;3461;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 23:32:00;2023-04-17 23:27:00;2023-04-17 19:27:00;;;2023-04-17 23:33:00;2023-04-17 23:27:00;2023-04-18 00:22:37;2023-04-17 22:45:00;1014697261;2023-04-18 11:55:05
1014697123;319;A319;A319;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.04;04;;T1   ;;A31A;TLS;LFBO;Toulouse;TLS;LFBO;Toulouse;N;National;EJU659L ;EC 4324;EJU4324 ;EJU4324 ;EC 4324;EJU4324 ;EJU4324 ;;4324;;4324;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 09:34:00;2023-04-18 09:29:00;2023-04-18 08:50:00;;;2023-04-18 09:37:00;2023-04-18 09:30:00;2023-04-18 09:54:06;2023-04-18 09:50:00;1014697317;2023-04-18 11:55:05
1014697217;319;A319;A319;HC;SZN;Air Senegal;HC;SZN;Air Senegal;A1F  ;1.10;10;;T1   ;;AC05;DSS;GOBD;DAKAR BLAISE DIAGNE;MRS;LFML;Marseille;I;International;SZN427  ;HC 427 ;SZN427  ;HC427   ;HC 427 ;SZN427  ;HC427   ;;427 ;;427 ;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 09:53:00;2023-04-18 09:47:00;2023-04-18 09:19:00;;;2023-04-18 09:55:00;2023-04-18 09:47:00;2023-04-18 10:21:07;2023-04-18 09:50:00;1014697218;2023-04-18 11:55:05
1014697075;32A;A320;A320-Winglet;LH;DLH;Lufthansa;LH;DLH;Lufthansa;A1F  ;1.07;07;;T1   ;;AB10;FRA;EDDF;Francfort;FRA;EDDF;Francfort;S;Schengen;DLH44C  ;LH 1074;DLH1074 ;LH1074  ;LH 1074;DLH1074 ;LH1074  ;;1074;;1074;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 09:54:00;2023-04-18 09:49:00;2023-04-18 08:56:00;;;2023-04-18 09:57:00;2023-04-18 09:49:00;2023-04-18 10:21:06;2023-04-18 09:50:00;1014697076;2023-04-18 11:55:05
1014697055;320;A320;A320-100/200;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.02;02;;T1   ;;A31B;NTE;LFRS;Nantes;NTE;LFRS;Nantes;N;National;EJU565K ;EC 4328;EJU4328 ;EJU4328 ;EC 4328;EJU4328 ;EJU4328 ;;4328;;4328;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 09:37:00;2023-04-18 09:32:00;2023-04-18 08:41:00;;;2023-04-18 09:40:00;2023-04-18 09:32:00;2023-04-18 09:52:53;2023-04-18 10:00:00;1014697124;2023-04-18 11:55:05
1014697131;319;A319;A319;LH;DLH;Lufthansa;LH;DLH;Lufthansa;A1F  ;1.09;09;;T1   ;;AB01;MUC;EDDM;Munich;MUC;EDDM;Munich;S;Schengen;DLH93K  ;LH 2248;DLH2248 ;LH2248  ;LH 2248;DLH2248 ;LH2248  ;;2248;;2248;AIR;Airborne / Left previous airport;;;;Passenger scheduled;J;;;2023-04-18 11:07:00;;;2023-04-18 12:10:00;2023-04-18 12:02:00;2023-04-18 11:40:24;2023-04-18 12:10:00;1014697132;2023-04-18 11:55:05
1014697043;E90;E190;Embraer Rj190;OS;AUA;Austrian Airlines;OS;AUA;Austrian Airlines;A1F  ;1.06;06;;T1   ;;AB02;VIE;LOWW;Vienne;VIE;LOWW;Vienne;S;Schengen;AUA4LS  ;OS 405 ;AUA405  ;OS405   ;OS 405 ;AUA405  ;OS405   ;;405 ;;405 ;AIR;Airborne / Left previous airport;;;;Passenger scheduled;J;;;2023-04-18 11:05:00;;;2023-04-18 12:39:00;2023-04-18 12:31:00;2023-04-18 11:07:48;2023-04-18 12:10:00;1014697329;2023-04-18 11:55:05
1014697125;738;B738;737-800 Passenger;AH;DAH;Air Algerie;AH;DAH;Air Algerie;A1F  ;1.07;07;;T1   ;;AC09;ALG;DAAG;Alger;ALG;DAAG;Alger;I;International;DAH1036 ;AH 1036;DAH1036 ;AH1036  ;AH 1036;DAH1036 ;AH1036  ;;1036;;1036;AIR;Airborne / Left previous airport;;;;Passenger scheduled;J;;;2023-04-18 10:53:00;;;2023-04-18 12:28:00;2023-04-18 12:20:00;2023-04-18 10:55:40;2023-04-18 12:20:00;1014697255;2023-04-18 11:55:05
1014697232;73H;B738;737-800 Passenger;TO;TVF;Transavia France;TO;TVF;Transavia France;A1F  ;1.02;02;;T1   ;;A1D;ATH;LGAV;Athenes;ATH;LGAV;Athenes;I;International;TVF3711 ;TO 3711;TVF3711 ;TO3711  ;TO 3711;TVF3711 ;TO3711  ;;3711;;3711;AIR;Airborne / Left previous airport;;RTD  ;Vol retardé;Passenger scheduled;J;;;2023-04-18 11:18:00;;;2023-04-18 13:56:00;2023-04-18 13:48:00;2023-04-18 11:18:44;2023-04-18 12:35:00;;2023-04-18 11:55:05
1014697106;E90;E190;Embraer Rj190;AF;AFR;Air France;AF;AFR;Air France;A1F  ;1.01;01;;T1   ;;A31B;TLS;LFBO;Toulouse;TLS;LFBO;Toulouse;N;National;AFR66EP ;AF 1713;AFR1713 ;AF1713  ;AF 1713;AFR1713 ;AF1713  ;;1713;;1713;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 07:50:00;2023-04-18 07:44:00;2023-04-18 06:59:00;;;2023-04-18 07:52:00;2023-04-18 07:45:00;2023-04-18 09:37:47;2023-04-18 07:45:00;1014697107;2023-04-18 11:55:05
1014697126;E90;E190;Embraer Rj190;AF;AFR;Air France;AF;AFR;Air France;A1F  ;;;;T1   ;;;NTE;LFRS;Nantes;NTE;LFRS;Nantes;N;National;AFR1483 ;AF 1483;AFR1483 ;AF1483  ;AF 1483;AFR1483 ;AF1483  ;;1483;;1483;CNL;Cancelled;;CNL  ;Vol annulé;Passenger scheduled;J;;;;2023-04-18 08:21:00;;;;2023-04-18 09:38:09;2023-04-18 07:50:00;;2023-04-18 11:55:05
1014697062;E70;E170;Embraer Rj170;AF;AFR;Air France;AF;AFR;Air France;A1F  ;1.02;02;;T1   ;;A31B;RNS;LFRN;Rennes;RNS;LFRN;Rennes;N;National;AFR1677 ;AF 1677;AFR1677 ;AF1677  ;AF 1677;AFR1677 ;AF1677  ;;1677;;1677;IBK;On-Block;;;;Passenger scheduled;J;2023-04-18 08:08:00;2023-04-18 08:03:00;2023-04-18 07:08:00;;;2023-04-18 08:11:00;2023-04-18 08:03:00;2023-04-18 08:23:52;2023-04-18 07:50:00;1014697063;2023-04-18 11:55:05
